Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,3612436,49.91,0,288,198264746,33062553780,0.0,0.0,10804,1717,0,0,0
10,6663607,53.56,0,580,209065756,34653571138,0.0,0.0,12914,1958,0,0,0
15,9688771,55.85,0,873,213034882,36000244402,0.0,0.0,13746,2106,0,0,0
20,12091771,56.79,0,1167,214839676,36382915240,0.0,0.0,14275,2178,0,0,0
25,15172480,57.9,0,1451,216570320,36622552578,0.0,0.0,14532,2223,0,0,0
30,18748814,58.82,0,1748,218084162,36943865514,0.0,0.0,15027,2302,0,0,0
35,23321460,58.93,0,2033,218566702,37070176690,0.0,0.0,15111,2306,0,0,0
