Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,3653565,48.46,0,271,253995970,10078957798,0.0,0.0,3664,705,0,0,0
10,7207365,53.24,0,536,278978824,11388503202,0.0,0.0,4506,874,0,0,0
15,11301217,55.44,0,806,282269058,11903528904,0.0,0.0,4798,950,0,0,0
20,15291893,56.48,0,1068,284304948,12091819168,0.0,0.0,4953,994,0,0,0
25,18179399,57.88,0,1327,286588448,12292103176,0.0,0.0,5086,1027,0,0,0
30,21710286,58.57,0,1592,288321454,12467391838,0.0,0.0,5196,1057,0,0,0
35,25143965,59.02,0,1859,289673316,12490059072,0.0,0.0,5204,1060,0,0,0
