Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,3251072,42.22,0,51,36504168,816112021,0.0,0.0,793,262,0,0,0
10,5735789,54.68,0,117,46338838,2303777133,0.0,0.0,1286,704,0,0,0
15,7488277,56.28,0,262,47879606,2857017657,0.0,0.0,1357,759,0,0,0
20,9698342,56.9,0,490,48616010,2997855979,0.0,0.0,1389,789,0,0,0
25,12041042,57.92,0,735,49551256,3225483037,0.0,0.0,1428,819,0,0,0
30,15414385,58.1,0,979,49979892,3320894345,0.0,0.0,1442,833,0,0,0
35,17868394,58.13,0,1234,50134152,3338836885,0.0,0.0,1446,835,0,0,0
