Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,4416853,48.16,0,273,50593140,998069074,0.0,0.0,1377,367,0,0,0
10,7764966,53.55,0,536,55197170,1609542984,0.0,0.0,1628,561,0,0,0
15,11253069,55.85,0,793,57265150,2038625934,0.0,0.0,1738,657,0,0,0
20,14311754,56.79,0,1049,58885832,2228766664,0.0,0.0,1802,707,0,0,0
25,18505961,57.93,0,1317,59924986,2334917776,0.0,0.0,1844,729,0,0,0
30,22100702,58.82,0,1603,61001908,2504166616,0.0,0.0,1896,772,0,0,0
35,25906555,58.91,0,1900,61182202,2548289516,0.0,0.0,1904,779,0,0,0
