Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,2418600,39.91,0,276,173455642,6606217262,0.0,0.0,3820,1055,0,0,0
10,4417634,43.48,0,548,187802560,8206943228,0.0,0.0,4828,1276,0,0,0
15,6173985,45.07,0,818,190885270,9577112544,0.0,0.0,5149,1379,0,0,0
20,8828481,45.76,0,1094,192540252,9794489446,0.0,0.0,5316,1424,0,0,0
25,10943382,46.86,0,1371,194475604,10077363864,0.0,0.0,5446,1465,0,0,0
30,13024416,47.39,0,1647,195877792,10355697404,0.0,0.0,5582,1505,0,0,0
35,15883334,47.47,0,1911,196166534,11138482892,0.0,0.0,5615,1514,0,0,0
