Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,6225984,48.62,0,294,37114782,1480212600,0.0,0.0,1369,717,0,0,0
10,12994221,53.1,0,589,39918158,1967555970,0.0,0.0,1621,938,0,0,0
15,16078803,55.6,0,885,42065998,2522944370,0.0,0.0,1723,1034,0,0,0
20,19281195,56.79,0,1180,43612160,2777079590,0.0,0.0,1802,1106,0,0,0
25,23518357,57.94,0,1475,44506908,2839397630,0.0,0.0,1830,1131,0,0,0
30,26719103,58.78,0,1770,45688114,3028408916,0.0,0.0,1894,1183,0,0,0
35,30703449,58.91,0,2066,46008184,3049038176,0.0,0.0,1904,1190,0,0,0
