Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,4103365,48.33,0,277,49967850,1251009962,0.0,0.0,1377,408,0,0,0
10,6963670,53.42,0,564,54717864,1911997630,0.0,0.0,1622,621,0,0,0
15,9314861,55.54,0,848,57208160,2266834270,0.0,0.0,1720,688,0,0,0
20,11998234,56.79,1,1125,58965636,2442736096,0.0,0.0,1802,745,0,0,0
25,15866331,57.81,1,1400,60115416,2507521370,0.0,0.0,1830,758,0,0,0
30,19355747,58.82,1,1681,61144452,2656440846,0.0,0.0,1896,807,0,0,0
35,21510812,58.91,1,1924,61352612,2694052430,0.0,0.0,1904,813,0,0,0
