Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,3699543,48.33,0,269,56177506,1437753256,0.0,0.0,1381,438,0,0,0
10,6835489,53.68,0,540,61824206,2029748276,0.0,0.0,1628,604,0,0,0
15,10611704,55.85,0,812,64047432,2480641298,0.0,0.0,1738,688,0,0,0
20,15629019,56.79,0,1078,65201314,2636234878,0.0,0.0,1802,741,0,0,0
25,19806113,57.9,0,1350,66335806,2736170284,0.0,0.0,1844,763,0,0,0
30,23129961,58.78,0,1617,67294820,2893372958,0.0,0.0,1894,808,0,0,0
35,25852445,58.93,0,1872,67574288,2938960042,0.0,0.0,1905,818,0,0,0
