Time,Execs done,Bitmap coverage,Saved crashes,Fuzz time,MPI send time,MPI recv time,Ammuina, Ammuina number,Received,Good,Afl sync,Cycles,Cycles wo
5,2874262,44.8,0,25,48489946,3875914998,0.0,0.0,3243,814,0,0,0
10,5996125,54.68,0,78,61280940,8244896547,0.0,0.0,6425,1626,0,0,0
15,7795103,56.28,0,191,63076844,9562238697,0.0,0.0,6853,1719,0,0,0
20,9914195,56.9,0,415,64027524,9928272371,0.0,0.0,7081,1767,0,0,0
25,12531425,57.92,0,648,65167594,10245558141,0.0,0.0,7284,1803,0,0,0
30,15013062,58.1,0,886,65588218,10482556379,0.0,0.0,7444,1827,0,0,0
35,17345743,58.13,0,1118,65771224,11350694939,0.0,0.0,7487,1833,0,0,0
